year,season,area,age,length
2009,3,1,4,86
2009,3,1,4,86
2009,3,1,6,88
2009,3,1,6,90
2009,3,1,7,90
2009,3,1,7,92
2009,1,1,9,96
2009,1,1,9,98
2009,1,1,6,100
2009,1,1,6,102
2009,1,1,9,106
2009,2,1,4,80
2009,2,1,4,80
2009,2,1,5,82
2009,2,1,5,82
2009,2,1,5,84
2009,2,1,5,84
2009,2,1,5,88
2009,2,1,7,102
2009,2,1,9,104
2009,3,1,4,74
2009,3,1,5,78
2009,3,1,4,84
2009,3,1,5,84
2009,3,1,5,84
2009,3,1,5,84
2009,3,1,4,86
2009,3,1,5,86
2009,3,1,6,86
2009,3,1,6,88
2009,3,1,6,88
2009,3,1,5,90
2009,3,1,10,100
2009,3,1,10,104
2009,4,1,4,78
2009,4,1,4,78
2009,4,1,5,78
2009,4,1,4,80
2009,4,1,4,82
2009,4,1,4,84
2009,4,1,5,84
2009,4,1,4,86
2009,4,1,6,86
2009,4,1,4,88
2009,4,1,6,88
2009,4,1,5,90
2009,4,1,6,90
2009,4,1,6,90
2009,4,1,7,94
2009,4,1,8,94
2009,4,1,6,96
2009,4,1,7,96
2009,4,1,7,96
2009,4,1,9,96
2009,4,1,6,98
2009,4,1,6,98
2009,4,1,7,98
2009,4,1,8,98
2009,4,1,8,98
2009,4,1,8,98
2009,4,1,10,98
2009,4,1,7,100
2009,4,1,7,100
2009,4,1,8,100
2009,4,1,8,100
2009,4,1,7,102
2009,4,1,10,102
2009,4,1,6,104
2009,4,1,9,104
2009,4,1,10,104
2009,4,1,7,106
2009,4,1,8,106
2009,4,1,8,106
2009,4,1,9,106
2009,4,1,9,106
2009,4,1,10,106
2009,4,1,10,106
2009,4,1,10,106
2009,4,1,5,108
2009,4,1,8,108
2009,4,1,10,108
2009,4,1,10,108
2009,4,1,7,110
2009,4,1,9,110
2010,1,1,7,92
2010,1,1,5,94
2010,1,1,10,96
2010,1,1,5,98
2010,1,1,7,98
2010,1,1,8,98
2010,1,1,8,98
2010,1,1,6,100
2010,1,1,7,100
2010,1,1,7,102
2010,1,1,7,102
2010,1,1,8,102
2010,1,1,9,102
2010,1,1,10,102
2010,1,1,6,104
2010,1,1,7,104
2010,1,1,10,104
2010,1,1,8,106
2010,1,1,6,108
2010,1,1,10,108
2010,1,1,10,108
2010,1,1,8,110
2010,1,1,8,114
2010,2,1,4,76
2010,2,1,5,80
2010,2,1,5,80
2010,2,1,5,80
2010,2,1,5,82
2010,2,1,5,82
2010,2,1,4,84
2010,2,1,5,90
2010,2,1,6,90
2010,2,1,6,92
2010,2,1,6,94
2010,2,1,6,94
2010,2,1,9,96
2010,2,1,7,100
2010,2,1,7,100
2010,2,1,10,100
2010,2,1,7,104
2010,3,1,4,82
2010,3,1,5,82
2010,3,1,3,84
2010,3,1,4,84
2010,3,1,4,84
2010,3,1,4,84
2010,3,1,5,84
2010,3,1,6,86
2010,3,1,5,88
2010,3,1,5,88
2010,3,1,5,88
2010,3,1,5,88
2010,3,1,5,88
2010,3,1,6,88
2010,3,1,5,90
2010,3,1,5,90
2010,3,1,6,90
2010,3,1,6,90
2010,3,1,6,90
2010,3,1,4,92
2010,3,1,4,92
2010,3,1,5,92
2010,3,1,5,92
2010,3,1,5,92
2010,3,1,5,92
2010,3,1,8,92
2010,3,1,4,94
2010,3,1,4,94
2010,3,1,5,94
2010,3,1,5,94
2010,3,1,6,94
2010,3,1,6,94
2010,3,1,7,94
2010,3,1,6,96
2010,3,1,10,96
2010,3,1,9,98
2010,3,1,10,98
2010,3,1,9,100
2010,3,1,9,100
2010,3,1,10,100
2010,3,1,6,104
2010,4,1,5,86
2010,4,1,5,86
2010,4,1,6,86
2010,4,1,4,88
2010,4,1,5,88
2010,4,1,5,88
2010,4,1,5,88
2010,4,1,5,88
2010,4,1,6,88
2010,4,1,6,88
2010,4,1,4,90
2010,4,1,4,90
2010,4,1,5,90
2010,4,1,5,90
2010,4,1,5,90
2010,4,1,6,90
2010,4,1,6,90
2010,4,1,5,92
2010,4,1,5,92
2010,4,1,5,92
2010,4,1,5,92
2010,4,1,5,92
2010,4,1,5,92
2010,4,1,7,92
2010,4,1,7,92
2010,4,1,7,92
2010,4,1,8,92
2010,4,1,5,94
2010,4,1,5,94
2010,4,1,6,94
2010,4,1,6,94
2010,4,1,8,96
2010,4,1,5,98
2010,4,1,5,98
2010,4,1,6,98
2010,4,1,6,98
2010,4,1,9,98
2010,4,1,7,100
2010,4,1,8,100
2010,4,1,8,100
2010,4,1,10,100
2010,4,1,9,102
2010,4,1,9,102
2010,4,1,9,102
2010,4,1,7,104
2010,4,1,8,104
2010,4,1,10,104
2010,4,1,7,106
2010,4,1,8,106
2010,4,1,8,106
2010,4,1,9,106
2010,4,1,9,106
2010,4,1,9,106
2010,4,1,10,106
2010,4,1,8,108
2010,4,1,10,108
2010,4,1,10,108
2010,4,1,10,108
2010,4,1,10,110
2010,4,1,10,112
2009,1,1,4,78
2009,1,1,4,80
2009,1,1,4,82
2009,1,1,5,94
2009,2,1,6,82
2009,2,1,4,86
2009,2,1,4,86
2009,2,1,6,92
2009,2,1,6,92
2009,2,1,7,92
2009,2,1,9,100
2009,2,1,10,104
2009,3,1,6,92
2009,3,1,8,92
2009,4,1,4,82
2009,4,1,5,82
2009,4,1,5,92
2009,4,1,9,94
2010,1,1,4,76
2010,1,1,4,80
2010,1,1,4,80
2010,1,1,5,90
2010,1,1,9,94
2010,1,1,9,98
2010,1,1,10,102
2010,1,1,10,102
2010,2,1,4,78
2010,2,1,4,78
2010,2,1,4,80
2010,2,1,4,80
2010,2,1,4,82
2010,2,1,4,84
2010,2,1,5,84
2010,2,1,5,84
2010,2,1,5,84
2010,2,1,6,86
2010,2,1,4,88
2010,2,1,5,88
2010,2,1,8,94
2010,2,1,10,104
2010,3,1,10,94
2010,4,1,6,94
2010,4,1,9,104
2010,4,1,3,58
2010,4,1,3,64
2010,4,1,2,66
2010,4,1,3,66
2010,4,1,3,66
2010,4,1,3,66
2010,4,1,3,66
2010,4,1,3,72
2010,4,1,3,76
2010,4,1,4,76
2010,4,1,4,76
2010,4,1,3,78
2010,4,1,5,82
2010,4,1,4,86
2010,4,1,5,88
2010,4,1,5,90
2010,4,1,6,92
2010,4,1,6,94
2010,4,1,10,100
2010,4,1,5,104
2010,4,1,10,110
2007,2,1,3,74
2007,2,1,4,76
2007,2,1,5,76
2007,2,1,4,78
2007,2,1,4,82
2007,2,1,4,82
2007,2,1,5,82
2007,2,1,4,84
2007,2,1,5,84
2007,2,1,5,84
2007,2,1,5,84
2007,2,1,5,84
2007,2,1,4,86
2007,2,1,9,100
2008,3,1,2,56
2008,3,1,2,60
2008,3,1,3,62
2008,3,1,3,68
2008,3,1,4,68
2008,3,1,4,68
2008,3,1,3,70
2008,3,1,3,70
2008,3,1,3,70
2008,3,1,3,70
2008,3,1,3,70
2008,3,1,3,70
2008,3,1,3,70
2008,3,1,3,70
2008,3,1,4,70
2008,3,1,4,70
2008,3,1,4,70
2008,3,1,4,70
2008,3,1,4,70
2008,3,1,4,70
2008,3,1,4,70
2008,3,1,4,70
2008,3,1,4,70
2008,3,1,3,72
2008,3,1,3,72
2008,3,1,3,72
2008,3,1,3,72
2008,3,1,3,72
2008,3,1,3,72
2008,3,1,3,72
2008,3,1,3,72
2008,3,1,3,72
2008,3,1,4,72
2008,3,1,4,72
2008,3,1,4,72
2008,3,1,4,72
2008,3,1,4,72
2008,3,1,4,72
2008,3,1,4,72
2008,3,1,4,72
2008,3,1,4,72
2008,3,1,4,72
2008,3,1,4,72
2008,3,1,5,72
2008,3,1,5,72
2008,3,1,3,74
2008,3,1,3,74
2008,3,1,3,74
2008,3,1,3,74
2008,3,1,3,74
2008,3,1,4,74
2008,3,1,4,74
2008,3,1,4,74
2008,3,1,4,74
2008,3,1,4,74
2008,3,1,4,74
2008,3,1,4,74
2008,3,1,4,74
2008,3,1,4,74
2008,3,1,4,74
2008,3,1,5,74
2008,3,1,3,76
2008,3,1,3,76
2008,3,1,4,76
2008,3,1,4,76
2008,3,1,4,76
2008,3,1,4,76
2008,3,1,4,76
2008,3,1,4,76
2008,3,1,4,76
2008,3,1,4,76
2008,3,1,4,76
2008,3,1,4,76
2008,3,1,5,76
2008,3,1,3,78
2008,3,1,3,78
2008,3,1,3,78
2008,3,1,4,78
2008,3,1,4,78
2008,3,1,4,78
2008,3,1,4,78
2008,3,1,4,78
2008,3,1,5,78
2008,3,1,5,78
2008,3,1,5,78
2008,3,1,5,78
2008,3,1,6,78
2008,3,1,4,80
2008,3,1,4,80
2008,3,1,4,80
2008,3,1,4,80
2008,3,1,4,80
2008,3,1,4,80
2008,3,1,4,80
2008,3,1,4,80
2008,3,1,5,80
2008,3,1,5,80
2008,3,1,5,80
2008,3,1,5,80
2008,3,1,6,80
2008,3,1,4,82
2008,3,1,4,82
2008,3,1,5,82
2008,3,1,5,82
2008,3,1,5,82
2008,3,1,5,82
2008,3,1,5,82
2008,3,1,5,82
2008,3,1,5,82
2008,3,1,6,82
2008,3,1,4,84
2008,3,1,4,84
2008,3,1,5,84
2008,3,1,4,86
2008,3,1,4,86
2008,3,1,5,86
2008,3,1,5,88
2008,3,1,5,88
2008,3,1,5,88
2008,3,1,6,88
2008,3,1,6,88
2008,3,1,5,92
2008,3,1,5,92
2008,3,1,5,94
2008,3,1,7,94
2008,3,1,7,94
2008,3,1,5,96
2008,3,1,9,96
2008,3,1,9,100
2008,3,1,10,106
2010,4,1,5,82
2010,4,1,5,84
2010,4,1,5,86
2010,4,1,6,88
2010,4,1,9,92
2010,4,1,6,94
2010,4,1,9,96
2010,4,1,10,102
2011,1,1,4,76
2011,1,1,4,78
2011,1,1,4,78
2011,1,1,5,78
2011,1,1,4,80
2011,1,1,4,80
2011,1,1,4,80
2011,1,1,5,80
2011,1,1,4,82
2011,1,1,4,82
2011,1,1,4,82
2011,1,1,4,82
2011,1,1,4,82
2011,1,1,4,84
2013,1,1,4,76
2013,1,1,4,78
2013,1,1,4,78
2013,1,1,4,78
2013,1,1,4,82
2013,1,1,4,82
2013,1,1,4,82
2013,1,1,4,84
2013,1,1,5,90
2013,1,1,10,104
2010,2,1,3,60
2010,2,1,3,68
2010,2,1,3,68
2010,2,1,4,72
2010,2,1,3,74
2010,2,1,3,74
2010,2,1,5,74
2010,2,1,4,76
2010,2,1,4,76
2010,2,1,5,76
2010,2,1,5,76
2010,2,1,4,78
2010,2,1,4,78
2010,2,1,4,78
2010,2,1,4,78
2010,2,1,5,78
2010,2,1,4,80
2010,2,1,4,80
2010,2,1,4,80
2010,2,1,4,80
2010,2,1,4,80
2010,2,1,5,80
2010,2,1,5,80
2010,2,1,5,80
2010,2,1,5,80
2010,2,1,5,80
2010,2,1,5,80
2010,2,1,4,82
2010,2,1,4,82
2010,2,1,4,82
2010,2,1,4,82
2010,2,1,5,82
2010,2,1,5,82
2010,2,1,5,82
2010,2,1,5,82
2010,2,1,5,84
2010,2,1,6,84
2010,2,1,6,84
2010,2,1,6,86
2010,2,1,6,88
2010,2,1,9,90
2010,2,1,6,92
2010,2,1,5,94
2010,2,1,6,94
2010,2,1,9,96
2010,2,1,9,98
2010,2,1,10,98
2010,2,1,7,100
2006,1,1,1,46
2006,1,1,1,54
2006,2,1,1,52
2006,2,1,1,54
2007,1,1,1,44
2007,1,1,1,44
2007,1,1,1,44
2007,1,1,1,46
2007,1,1,1,48
2007,1,1,1,48
2007,1,1,1,48
2008,1,1,1,44
2008,1,1,1,46
2008,1,1,1,50
2008,1,1,2,56
2008,2,1,1,42
2008,2,1,1,46
2008,2,1,1,48
2008,2,1,1,48
2008,2,1,1,50
2008,2,1,1,50
2008,2,1,1,50
2008,2,1,1,50
2008,2,1,1,50
2008,2,1,1,50
2008,2,1,2,50
2008,2,1,1,52
2008,2,1,2,52
2008,2,1,2,52
2008,2,1,2,52
2008,2,1,2,54
2008,2,1,2,56
2009,1,1,1,42
2009,1,1,1,48
2009,1,1,1,48
2009,1,1,1,48
2009,1,1,2,48
2009,1,1,1,50
2009,1,1,1,50
2009,1,1,2,50
2009,1,1,2,50
2009,1,1,2,50
2009,1,1,2,50
2009,1,1,2,50
2009,1,1,2,52
2009,1,1,2,52
2009,1,1,2,54
2009,1,1,2,54
2009,1,1,2,56
2009,1,1,2,56
2009,1,1,2,56
2009,1,1,2,58
2009,1,1,2,58
2009,1,1,2,60
2009,1,1,3,66
2009,1,1,3,68
2009,1,1,3,70
2009,1,1,3,70
2009,1,1,3,72
2009,1,1,3,72
2009,1,1,4,72
2009,1,1,4,74
2009,1,1,3,76
2009,1,1,4,78
2009,1,1,4,82
2009,1,1,5,82
2009,1,1,6,90
2009,2,1,1,46
2009,2,1,2,46
2009,2,1,1,50
2009,2,1,2,50
2009,2,1,1,52
2009,2,1,2,52
2009,2,1,2,52
2009,2,1,2,52
2010,1,1,2,44
2010,1,1,2,44
2010,1,1,1,50
2010,1,1,2,50
2010,1,1,2,50
2010,1,1,1,54
2010,1,1,2,54
2010,1,1,2,54
2010,1,1,2,56
2010,1,1,2,58
2010,1,1,2,60
2010,1,1,3,62
2010,1,1,3,62
2010,1,1,3,64
2010,1,1,3,64
2010,1,1,3,66
2010,1,1,4,66
2010,1,1,3,68
2010,1,1,3,68
2010,1,1,3,70
2010,1,1,4,70
2010,1,1,3,72
2010,1,1,4,72
2010,2,1,2,46
2010,2,1,1,48
2010,2,1,1,48
2010,2,1,1,48
2010,2,1,1,48
2010,2,1,1,48
2010,2,1,2,48
2010,2,1,2,48
2010,2,1,2,48
2010,2,1,2,50
2010,2,1,2,50
2010,2,1,2,50
2010,2,1,2,50
2010,2,1,2,50
2010,2,1,2,50
2010,2,1,2,50
2010,2,1,2,50
2010,2,1,2,50
2010,2,1,2,50
2010,2,1,1,52
2010,2,1,1,52
2010,2,1,1,52
2010,2,1,2,52
2010,2,1,1,54
2010,2,1,2,54
2010,2,1,2,54
2010,2,1,2,58
2010,2,1,3,58
2010,2,1,3,60
2010,2,1,2,62
2010,2,1,2,62
2010,2,1,3,62
2010,2,1,3,62
2010,2,1,3,62
2010,2,1,2,64
2010,2,1,3,64
2010,2,1,5,78
2010,2,1,3,80
2010,2,1,4,80
2010,2,1,4,80
2010,2,1,3,82
2010,2,1,4,84
2010,2,1,5,84
