year,rec,catch,tb,sb,sbf0,dep,f
1954,146,  8,2299,1191,1191,1.00,0.00
1955,146, 11,2273,1166,1173,0.99,0.00
1956,161,  7,2279,1144,1160,0.99,0.00
1957, 90, 11,2152,1131,1149,0.98,0.01
1958,101, 17,2054,1118,1142,0.98,0.01
1959, 47, 25,1857,1110,1143,0.97,0.01
1960, 30, 26,1624,1078,1126,0.96,0.02
1961, 82, 28,1500, 997,1057,0.94,0.02
1962,105, 33,1437, 893, 963,0.93,0.02
1963,138, 32,1441, 748, 831,0.90,0.02
1964, 41, 28,1286, 629, 719,0.87,0.02
1965, 16, 29,1128, 589, 681,0.87,0.03
1966, 72, 49,1106, 612, 707,0.87,0.04
1967, 51, 52,1014, 613, 727,0.84,0.05
1968, 55, 44, 910, 525, 659,0.80,0.05
1969, 47, 34, 829, 437, 576,0.76,0.04
1970, 32, 39, 754, 401, 537,0.75,0.05
1971, 36, 48, 687, 370, 506,0.73,0.07
1972, 41, 47, 633, 335, 480,0.70,0.07
1973, 77, 51, 655, 295, 447,0.66,0.08
1974,108, 43, 739, 248, 408,0.61,0.06
1975, 53, 23, 726, 218, 379,0.58,0.03
1976, 30, 20, 698, 235, 379,0.62,0.03
1977, 31, 37, 688, 300, 430,0.70,0.05
1978, 37, 44, 660, 352, 489,0.72,0.07
1979, 46, 32, 623, 339, 487,0.70,0.05
1980, 66, 36, 638, 301, 446,0.67,0.06
1981, 54, 36, 630, 258, 404,0.64,0.06
1982, 45, 34, 614, 233, 377,0.62,0.06
1983, 53, 28, 626, 235, 377,0.62,0.05
1984, 66, 30, 669, 259, 394,0.66,0.04
1985, 28, 30, 627, 271, 402,0.68,0.05
1986, 51, 36, 627, 273, 402,0.68,0.06
1987, 44, 28, 612, 275, 411,0.67,0.05
1988, 82, 41, 678, 279, 415,0.67,0.06
1989, 81, 62, 721, 254, 397,0.64,0.09
1990, 35, 33, 656, 234, 389,0.60,0.05
1991, 87, 37, 730, 243, 399,0.61,0.05
1992, 54, 44, 739, 277, 442,0.63,0.06
1993, 68, 39, 756, 293, 467,0.63,0.05
1994, 73, 46, 784, 296, 471,0.63,0.06
1995, 95, 37, 853, 310, 491,0.63,0.04
1996, 56, 45, 842, 320, 496,0.64,0.05
1997, 50, 41, 813, 327, 506,0.65,0.05
1998, 33, 62, 759, 350, 532,0.66,0.08
1999,117, 39, 847, 354, 556,0.64,0.05
2000, 30, 49, 773, 347, 544,0.64,0.06
2001,110, 64, 847, 311, 508,0.61,0.08
2002,107, 83, 914, 288, 497,0.58,0.09
2003, 88, 73, 925, 280, 519,0.54,0.08
2004, 57, 72, 885, 272, 524,0.52,0.08
2005, 57, 80, 863, 313, 576,0.54,0.09
2006, 92, 76, 891, 345, 629,0.55,0.09
2007,119, 68, 962, 345, 642,0.54,0.07
2008, 81, 66, 960, 320, 618,0.52,0.07
2009, 80, 87, 966, 309, 601,0.51,0.09
2010,104,102,1011, 323, 629,0.51,0.10
2011,134, 74,1093, 338, 672,0.50,0.07
2012, 50, 91,1025, 353, 683,0.52,0.09
2013, 75, 98, 994, 350, 691,0.51,0.10
2014, 97, 94,1012, 374, 730,0.51,0.09
2015, 90,101,1008, 392, 757,0.52,0.10
2016, 49, 93, 901, 347, 723,0.48,0.10
2017, 56, 98, 838, 325, 701,0.46,0.12
2018,129, 93, 922, 322, 703,0.46,0.10
2019,108, 85, 958, 306, 687,0.45,0.09
2020, 84, 85, 949, 268, 640,0.42,0.09
2021, 66, 79, 925, 268, 630,0.43,0.09
2022, 71, 82, 928, 326, 681,0.48,0.09
